Column 1 1 2 1,CATEGORY,Column 1 2 1 3 2 1 1,Column 1 2 1 3 2 2 1,Column 1 2 1 3 2 3 1,Column 1 2 1 3 2 4 1
"""Range""","[""team-collaborations""]","""Content""","""Product Usage""",,
"""Condens Insights""","[""recording-transcriptions""]","""Registration Information""","""Content""","""Product Usage""",
"""Thrive Reset""","[""productivity""]","""Content""","""Participant Profile & Contact Information""","""Product Usage""",
"""Zola Suite""","[""eCommerce"",""productivity""]","""Product Usage""",,,
"""Xembly""","[""productivity""]","""Registration Information""","""Content""","""Product Usage""",
"""Tocaly""","[""scheduling-calendar""]","""Product Usage""",,,
"""Rhythm Software""","[""crm""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Trint""","[""transcription-translation""]","""Registration Information""","""Content""","""Product Usage""",
"""Track""","[""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""LibAnswers""","[""education"",""human-resources""]","""Product Usage""",,,
"""Superpeer""","[""team-collaborations""]","""Product Usage""",,,
"""MeetingPulse for Zoom Desktop""","[""human-resources""]","""Content""","""Product Usage""",,
"""Eightfold Scheduling App""","[""human-resources""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""FregaRooms""","[""productivity""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""MeetingPulse""","[""eventmanagement""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Repitte""","[""health-care"",""health-wellness""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Mindbeat""","[""learning-development""]","""Product Usage""",,,
"""Clickbranch Integration""","[""team-collaborations""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Nook Calendar""","[""productivity""]","""Product Usage""",,,
"""PrepAir""","[""education"",""productivity""]",,,,
"""Flavor With Zoom""","[""crm"",""education""]",,,,
"""eWebinar""","[""marketing""]","""Registration Information""","""Content""","""Product Usage""",
"""Terminland.eu""","[""health-care"",""scheduling-calendar""]","""Product Usage""",,,
"""BetterHQ""","[""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Epihub""","[""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""kocoschools.com""","[""education"",""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""IceWarp Desktop Client""","[""productivity""]","""Product Usage""",,,
"""PeerKonnect""","[""education"",""scheduling-calendar""]","""Product Usage""",,,
"""Workfront""","[""productivity""]","""Product Usage""",,,
"""Exercise Pro Live""","[""health-care"",""health-wellness""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Zenzen""","[""eventmanagement""]","""Product Usage""",,,
"""Qmiix""","[""productivity""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""edxtore lms""","[""education"",""learning-development""]","""Registration Information""","""Content""","""Product Usage""",
"""GrabJobs""","[""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Appointly""","[""scheduling-calendar""]","""Product Usage""",,,
"""Classly""","[""education"",""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Bluescape Integration""","[""productivity""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""1O8""","[""productivity""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Ucampus""","[""education"",""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Kaizen""","[""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Acquire""","[""customer-service""]","""Product Usage""",,,
"""RealEstateExpo""","[""sales-automation""]",,,,
"""Jamtoo OAuth 2.0""","[""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""ISLOLMS""","[""education"",""learning-development""]",,,,
"""Well B""","[""productivity""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Chanl Integration""","[""productivity""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""RealtimeCRM""","[""crm""]","""Product Usage""",,,
"""Membership instaApp for Zoom""","[""eventmanagement""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""ScreenLine Learn""","[""education"",""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Instrctor""","[""eventmanagement""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""CEI API""","[""crm"",""health-care""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Summinar""","[""eventmanagement"",""scheduling-calendar""]","""Product Usage""",,,
"""Glia - Europe""","[""customer-service""]","""Content""","""Participant Profile & Contact Information""","""Product Usage""",
"""Marsview Notes - Meeting Assistant""","[""education"",""transcription-translation""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Ceeya""","[""eventmanagement"",""learning-development"",""sales-automation""]",,,,
"""Fest Academy""","[""education"",""team-collaborations""]","""Product Usage""",,,
"""AI Notetaker by Fathom""","[""recording-transcriptions"",""sales-automation"",""transcription-translation""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""IFTTT""","[""content-and-compliance"",""productivity"",""social-activities""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""IR Collaborate - Experience Management for Zoom""","[""analytics""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Mastera""","[""eventmanagement""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""HRMOS""","[""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Close""","[""crm""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Gatsby""","[""eventmanagement""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Easy Insight""","[""analytics""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Meeting Timer, Agenda Timer & Clock Countdown""","[""education"",""productivity""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Splose""","[""crm"",""health-care""]","""Product Usage""",,,
"""Arlo Training Management Software""","[""education"",""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Clickfunnels""","[""marketing""]","""Product Usage""",,,
"""SKYMENU Cloud""","[""team-collaborations""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Punchpass""","[""eventmanagement""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Groove Scheduler for Zoom Meetings""","[""sales-automation""]","""Product Usage""",,,
"""AppointmentCore""","[""scheduling-calendar""]","""Product Usage""",,,
"""LibCal""","[""education"",""scheduling-calendar""]","""Product Usage""",,,
"""Sococo""","[""team-collaborations""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""CoachAccountable""","[""scheduling-calendar""]",,,,
"""Bitbucket Notifications""","[""productivity""]","""Content""","""Participant Profile & Contact Information""","""Product Usage""",
